09_11
Provincia, Cant√≥n, Positivos, Activos, Recuperados, Fallecidos
San José,Acosta,324,167,155,2
San José,Alajuelita,2903,2363,507,33
San José,Aserrí,820,412,405,3
San José,Curridabat,1351,597,736,18
San José,Desamparados,4339,3086,1192,61
San José,Dota,7,2,5,0
San José,Escazú,1055,479,556,20
San José,Goicoechea,1783,972,784,27
San José,León Cortés Castro,30,17,13,0
San José,Montes de Oca,569,340,226,3
San José,Mora,355,156,192,7
San José,Moravia,570,202,361,7
San José,Pérez Zeledón,150,121,29,0
San José,Puriscal,304,122,179,3
San José,San José,11287,5666,5476,145
San José,Santa Ana,963,627,326,10
San José,Tarrazú,18,6,12,0
San José,Tibás,1463,970,469,24
San José,Turrubares,32,11,21,0
San José,Vázquez de Coronado,818,381,424,13
Alajuela,Alajuela,3778,3117,624,37
Alajuela,Atenas,178,93,82,3
Alajuela,Grecia,438,289,141,8
Alajuela,Guatuso,160,37,121,2
Alajuela,Los Chiles,284,60,222,2
Alajuela,Naranjo,469,292,175,2
Alajuela,Orotina,90,39,51,0
Alajuela,Palmares,274,136,137,1
Alajuela,Poás,265,87,176,2
Alajuela,Río Cuarto,185,156,29,0
Alajuela,San Carlos,1555,944,604,7
Alajuela,San Mateo,12,5,7,0
Alajuela,San Ramón,568,217,346,5
Alajuela,Sarchí,80,35,45,0
Alajuela,Upala,188,42,143,3
Alajuela,Zarcero,109,81,28,0
Cartago,Alvarado,47,28,18,1
Cartago,Cartago,801,499,295,7
Cartago,El Guarco,237,210,26,1
Cartago,Jiménez,44,25,19,0
Cartago,La Unión,1417,987,414,16
Cartago,Oreamuno,351,181,168,2
Cartago,Paraíso,201,97,101,3
Cartago,Turrialba,128,70,56,2
Heredia,Barva,508,274,229,5
Heredia,Belén,299,191,107,1
Heredia,Flores,295,213,81,1
Heredia,Heredia,2548,2064,451,33
Heredia,San Isidro,308,193,112,3
Heredia,San Pablo,387,242,143,2
Heredia,San Rafael,634,327,299,8
Heredia,Santa Barbara,350,190,160,0
Heredia,Santo Domingo,671,458,209,4
Heredia,Sarapiquí,179,104,75,0
Guanacaste,Abangares,68,25,43,0
Guanacaste,Bagaces,82,23,58,1
Guanacaste,Cañas,154,28,126,0
Guanacaste,Carrillo,72,28,42,2
Guanacaste,Hojancha,38,7,31,0
Guanacaste,La Cruz,143,22,120,1
Guanacaste,Liberia,281,182,97,2
Guanacaste,Nandayure,13,6,5,2
Guanacaste,Nicoya,248,108,137,3
Guanacaste,Santa Cruz,151,54,96,1
Guanacaste,Tilarán,47,12,34,1
Puntarenas,Buenos Aires,39,28,9,2
Puntarenas,Corredores,769,425,339,5
Puntarenas,Coto Brus,56,50,5,1
Puntarenas,Esparza,162,79,82,1
Puntarenas,Garabito,186,95,88,3
Puntarenas,Golfito,231,169,61,1
Puntarenas,Montes de Oro,105,65,40,0
Puntarenas,Osa,185,162,21,2
Puntarenas,Parrita,75,29,45,1
Puntarenas,Puntarenas,633,323,308,2
Puntarenas,Quepos,160,73,86,1
Limón,Guácimo,284,189,91,4
Limón,Limón,795,483,309,3
Limón,Matina,110,87,22,1
Limón,Pococí,666,377,286,3
Limón,Siquirres,359,272,85,2
Limón,Talamanca,203,145,57,1
110,87,22,1
LimÔøΩn,PococÔøΩ,666,377,286,3
LimÔøΩn,Siquirres,359,272,85,2
LimÔøΩn,Talamanca,203,145,57,1
110,87,22,1,,
LimÔøΩn,PococÔøΩ,666,377,286,3
LimÔøΩn,Siquirres,359,272,85,2
LimÔøΩn,Talamanca,203,145,57,1
110,87,22,1,,
LimÔøΩn,PococÔøΩ,666,377,286,3
LimÔøΩn,Siquirres,359,272,85,2
LimÔøΩn,Talamanca,203,145,57,1
