11_02
Costa Rica;114,367;+1,106;1,444;+13;70,002;+859;42,921;177;22,380;283;318,064;62,242;5,110,157;
Italy;824,879;+34,505;40,192;+428;312,339;+4,961;472,348;2,391;13,650;665;16,717,651;276,641;60,430,792;
China;86,115;+28;4,634;0;81,081;+20;400;9;60;3;160,000,000;111,163;1,439,323,776;
Spain;1,365,895;+21,908;38,486;+368;N/A;N/A;N/A;2,802;29,210;823;18,072,174;386,479;46,761,086;
Indonesia;425,796;+4,065;14,348;+89;357,142;+3,860;54,306;0;1,551;52;4,678,096;17,041;274,519,163;
Canada;250,359;+2,656;10,377;+46;207,772;+2,125;32,210;234;6,613;274;9,753,158;257,636;37,856,306;
Colombia;1,108,084;0;32,013;0;1,002,202;0;73,869;2,376;21,698;627;5,215,323;102,122;51,069,547;
Argentina;1,205,928;0;32,520;0;1,017,647;0;155,761;4,816;26,598;717;3,114,747;68,699;45,338,767;
Czechia;385,302;+6,586;4,301;+168;200,435;+672;180,566;1,156;35,956;401;2,472,293;230,713;10,715,890;
Chile;516,582;+1,540;14,404;+64;493,250;+1,101;8,928;725;26,943;751;4,462,086;232,730;19,172,818;
Germany;615,737;+18,378;11,152;+124;391,600;+10,200;212,985;2,546;7,341;133;23,393,311;278,900;83,876,966;
Guatemala;109,849;+702;3,766;+14;99,753;+586;6,330;5;6,093;209;446,889;24,788;18,028,508;
Honduras;99,124;+436;2,730;+24;42,153;+305;54,241;24;9,954;274;231,650;23,262;9,958,470;
Nicaragua;5,514;0;156;0;4,225;0;1,133;0;829;23;0;0;6,651,638;
Panama;136,024;0;2,744;0;114,207;0;19,073;109;31,356;633;689,899;159,036;4,337,996;
Paraguay;65,258;0;1,454;0;45,123;0;18,681;121;9,111;203;374,486;52,283;7,162,631;
Belize;3,905;+115;64;+3;2,293;+31;1,548;2;9,760;160;24,175;60,424;400,089;
Austria;132,515;+7,416;1,268;+41;80,604;+3,568;50,643;407;14,684;141;2,362,948;261,846;9,024,190;
Portugal;161,350;+4,410;2,740;+46;91,453;+2,507;67,157;320;15,840;269;3,518,047;345,370;10,186,314;
Peru;911,787;0;34,671;0;835,694;0;41,422;1,037;27,522;1,047;4,591,407;138,591;33,129,291;
