09_21
Provincia; CantÃ³n; Positivos; Activos; Recuperados; Fallecidos
San José;Acosta;404;197;205;2
San José;Alajuelita;3363;2800;523;40
San José;Aserrí;978;553;420;5
San José;Curridabat;1655;726;908;21
San José;Desamparados;5140;3585;1482;73
San José;Dota;8;2;6;0
San José;Escazú;1191;507;663;21
San José;Goicoechea;2177;941;1204;32
San José;León Cortés Castro;35;17;18;0
San José;Montes de Oca;703;434;264;5
San José;Mora;426;157;261;8
San José;Moravia;668;204;456;8
San José;Pérez Zeledón;229;187;41;1
San José;Puriscal;366;121;240;5
San José;San José;12827;6518;6129;180
San José;Santa Ana;1154;802;339;13
San José;Tarrazú;20;6;14;0
San José;Tibás;1661;1132;501;28
San José;Turrubares;37;14;23;0
San José;Vázquez de Coronado;1001;469;518;14
Alajuela;Alajuela;4625;3910;668;47
Alajuela;Atenas;225;116;106;3
Alajuela;Grecia;572;419;144;9
Alajuela;Guatuso;178;31;145;2
Alajuela;Los Chiles;305;50;250;5
Alajuela;Naranjo;544;308;234;2
Alajuela;Orotina;121;59;61;1
Alajuela;Palmares;337;180;156;1
Alajuela;Poás;323;114;207;2
Alajuela;Río Cuarto;265;236;29;0
Alajuela;San Carlos;1979;1345;624;10
Alajuela;San Mateo;17;10;7;0
Alajuela;San Ramón;669;270;393;6
Alajuela;Sarchí;101;56;45;0
Alajuela;Upala;220;53;164;3
Alajuela;Zarcero;153;124;29;0
Cartago;Alvarado;59;27;31;1
Cartago;Cartago;1035;675;349;11
Cartago;El Guarco;315;231;82;2
Cartago;Jiménez;61;39;22;0
Cartago;La Unión;1718;1050;647;21
Cartago;Oreamuno;462;231;228;3
Cartago;Paraíso;264;84;177;3
Cartago;Turrialba;184;113;69;2
Heredia;Barva;626;310;310;6
Heredia;Belén;368;258;109;1
Heredia;Flores;358;270;87;1
Heredia;Heredia;2981;2133;809;39
Heredia;San Isidro;382;253;125;4
Heredia;San Pablo;456;267;186;3
Heredia;San Rafael;778;383;387;8
Heredia;Santa Barbara;447;270;177;0
Heredia;Santo Domingo;816;570;239;7
Heredia;Sarapiquí;304;197;106;1
Guanacaste;Abangares;79;24;55;0
Guanacaste;Bagaces;91;24;66;1
Guanacaste;Cañas;185;46;139;0
Guanacaste;Carrillo;95;34;58;3
Guanacaste;Hojancha;45;11;34;0
Guanacaste;La Cruz;163;33;129;1
Guanacaste;Liberia;376;272;102;2
Guanacaste;Nandayure;21;10;8;3
Guanacaste;Nicoya;366;189;170;7
Guanacaste;Santa Cruz;220;104;114;2
Guanacaste;Tilarán;56;14;41;1
Puntarenas;Buenos Aires;84;72;9;3
Puntarenas;Corredores;843;474;363;6
Puntarenas;Coto Brus;82;72;8;2
Puntarenas;Esparza;258;145;110;3
Puntarenas;Garabito;248;121;122;5
Puntarenas;Golfito;273;195;77;1
Puntarenas;Montes de Oro;157;116;41;0
Puntarenas;Osa;211;179;22;10
Puntarenas;Parrita;98;40;57;1
Puntarenas;Puntarenas;1016;624;386;6
Puntarenas;Quepos;221;97;122;2
Limón;Guácimo;338;203;131;4
Limón;Limón;1233;739;485;9
Limón;Matina;218;192;23;3
Limón;Pococí;877;562;312;3
Limón;Siquirres;610;376;231;3
Limón;Talamanca;332;269;59;4
